station_id,USAF,WBAN,state,latitude,longitude,avg_wind_speed_ms,ICAO,ICAO_CLEAN,has_icao,NAME,BEGIN,END
72502964707,725029,64707,CT,41.483,-73.133,3.079099025973939,KOXC,KOXC,True,,20060101,20250826
72504094702,725040,94702,CT,41.164,-73.127,3.942370703501072,KBDR,KBDR,True,,19421208,20250827
72504514758,725045,14758,CT,41.259,-72.889,3.2717500661899632,KHVN,KHVN,True,,19730101,20250827
72504614707,725046,14707,CT,41.328,-72.049,3.930124178232108,KGON,KGON,True,,19430118,20250827
72508014740,725080,14740,CT,41.937,-72.682,3.6339658444019975,KBDL,KBDL,True,,19410912,20250826
72508454767,725084,54767,CT,41.742,-72.182,2.4328100874936096,KIJD,KIJD,True,,20060101,20250827
72508654734,725086,54734,CT,41.372,-73.483,2.677746441042171,KDXR,KDXR,True,,20060101,20250827
72508714752,725087,14752,CT,41.735,-72.651,2.953033214383703,KHFD,KHFD,True,,19740101,20250827
72408813707,724088,13707,DE,39.133,-75.467,3.953921263113736,KDOV,KDOV,True,,19421201,20250825
72409313764,724093,13764,DE,38.69,-75.362,3.055558500066153,KGED,KGED,True,,20060101,20250827
72418013781,724180,13781,DE,39.674,-75.606,3.813214739516963,KILG,KILG,True,,20050101,20250827
99728199999,997281,99999,DE,38.78,-75.12,5.128717698683522,,,False,,20080101,20250824
99769499999,997694,99999,DE,39.58,-75.58,3.1032825112108893,,,False,,20080101,20250824
99816999999,998169,99999,DE,39.083,-75.433,2.030784526392008,,,False,,20080101,20250824
72037392824,720373,92824,FL,28.0,-82.164,2.30645687487223,KPCM,KPCM,True,,20061024,20250825
72038353847,720383,53847,FL,30.697,-87.021,2.51387581600136,KNDZ,KNDZ,True,,20070116,20250825
72065500235,720655,00235,FL,28.867,-82.567,1.7141663081554317,KCGC,KCGC,True,,20090812,20250825
72067200485,720672,00485,FL,29.467,-81.206,1.7992955650362654,KFIN,KFIN,True,,20091103,20250825
72073573805,720735,73805,FL,30.349,-85.788,2.9441136836946216,KECP,KECP,True,,20110301,20250825
72090400299,720904,00299,FL,29.067,-81.283,2.782325273268783,KDED,KDED,True,,20120209,20250825
72094600326,720946,00326,FL,30.617,-81.467,3.764565908822326,KFHB,KFHB,True,,20110512,20250825
72096400338,720964,00338,FL,30.033,-85.533,3.618140364789952,KTDR,KTDR,True,,20120125,20250825
72104199999,721041,99999,FL,25.995,-81.673,2.4295345104333768,KMKY,KMKY,True,,20120726,20250824
72104200486,721042,00486,FL,28.228,-82.156,2.4353111006359103,KZPH,KZPH,True,,20120813,20250826
72201012836,722010,12836,FL,24.557,-81.755,4.504518866842065,KEYW,KEYW,True,,19730101,20250827
72201192813,722011,92813,FL,28.29,-81.437,2.9199940493900813,KISM,KISM,True,,20060101,20250825
72201412818,722014,12818,FL,28.474,-82.454,2.59271514846501,KBKV,KBKV,True,,20060101,20250827
72201512850,722015,12850,FL,24.583,-81.683,4.863524001149539,KNQX,KNQX,True,,19730101,20250827
72201612896,722016,12896,FL,24.726,-81.048,3.83489069867104,KMTH,KMTH,True,,20060101,20250827
72202012839,722020,12839,FL,25.788,-80.317,3.546533220788389,KMIA,KMIA,True,,19730101,20250827
