year,month,state,capacity_factor
1995,9,MN,0.030704
1995,9,MO,0.025257
1995,9,MS,0.008625
1995,9,MT,0.042775
1995,9,NC,0.018859
1995,9,ND,0.052689
1995,9,NE,0.052614
1995,9,NH,0.071616
1995,9,NJ,0.02333
1995,9,NM,0.043295
1995,9,NV,0.029242
1995,9,NY,0.032876
1995,9,OH,0.025887
1995,9,OK,0.042421
1995,9,OR,0.019439
1995,9,PA,0.016642
1995,9,RI,0.056721
1995,9,SC,0.013313
1995,9,SD,0.051342
1995,9,TN,0.00987
1995,9,TX,0.03586
1995,9,UT,0.026147
1995,9,VA,0.013499
1995,9,VT,0.031298
1995,9,WA,0.014436
1995,9,WI,0.034991
1995,9,WV,0.005078
1995,9,WY,0.037305
1995,10,AL,0.023641
1995,10,AR,0.029845
1995,10,AZ,0.018626
1995,10,CA,0.025935
1995,10,CO,0.052777
1995,10,CT,0.033534
1995,10,DE,0.032695
1995,10,FL,0.036807
1995,10,GA,0.023753
1995,10,IA,0.08839
1995,10,ID,0.048318
1995,10,IL,0.083504
1995,10,IN,0.076377
1995,10,KS,0.133349
1995,10,KY,0.026474
1995,10,LA,0.025857
1995,10,MA,0.057523
1995,10,MD,0.023248
1995,10,ME,0.042315
1995,10,MI,0.069679
1995,10,MN,0.068333
1995,10,MO,0.073357
1995,10,MS,0.01595
1995,10,MT,0.111606
1995,10,NC,0.019872
1995,10,ND,0.093712
1995,10,NE,0.130621
1995,10,NH,0.084571
1995,10,NJ,0.038216
1995,10,NM,0.055695
1995,10,NV,0.02653
1995,10,NY,0.066681
1995,10,OH,0.081942
1995,10,OK,0.079347
1995,10,OR,0.026531
1995,10,PA,0.038381
1995,10,RI,0.081555
1995,10,SC,0.022996
1995,10,SD,0.108955
1995,10,TN,0.023948
1995,10,TX,0.056957
1995,10,UT,0.027585
1995,10,VA,0.021723
1995,10,VT,0.048002
1995,10,WA,0.028318
1995,10,WI,0.066807
1995,10,WV,0.019421
1995,10,WY,0.097121
1995,11,AL,0.02257
1995,11,AR,0.043355
1995,11,AZ,0.014845
1995,11,CA,0.016558
1995,11,CO,0.044802
1995,11,CT,0.054031
1995,11,DE,0.072827
1995,11,FL,0.026798
1995,11,GA,0.021092
1995,11,IA,0.093693
1995,11,ID,0.042989
1995,11,IL,0.094492
1995,11,IN,0.10587
1995,11,KS,0.096117
1995,11,KY,0.04428
1995,11,LA,0.033956
1995,11,MA,0.078329
1995,11,MD,0.046905
1995,11,ME,0.046575
1995,11,MI,0.069849
1995,11,MN,0.073012
1995,11,MO,0.072486
1995,11,MS,0.023225
1995,11,MT,0.099578
1995,11,NC,0.028745
1995,11,ND,0.135233
1995,11,NE,0.089754
1995,11,NH,0.10009
1995,11,NJ,0.057874
1995,11,NM,0.063599
1995,11,NV,0.023901
1995,11,NY,0.08054
1995,11,OH,0.111642
1995,11,OK,0.093842
1995,11,OR,0.047794
1995,11,PA,0.055552
1995,11,RI,0.108634
1995,11,SC,0.023924
1995,11,SD,0.09044
1995,11,TN,0.035556
1995,11,TX,0.067648
1995,11,UT,0.020092
1995,11,VA,0.041238
1995,11,VT,0.042873
1995,11,WA,0.055286
1995,11,WI,0.073914
1995,11,WV,0.025849
1995,11,WY,0.10244
1995,12,AL,0.023762
1995,12,AR,0.027076
1995,12,AZ,0.013842
1995,12,CA,0.033112
1995,12,CO,0.027001
1995,12,CT,0.041902
1995,12,DE,0.074515
1995,12,FL,0.029967
1995,12,GA,0.022127
1995,12,IA,0.071626
1995,12,ID,0.037683
1995,12,IL,0.075282
1995,12,IN,0.075341
1995,12,KS,0.063453
1995,12,KY,0.024407
1995,12,LA,0.03121
1995,12,MA,0.088032
1995,12,MD,0.041355
1995,12,ME,0.050503
1995,12,MI,0.066629
1995,12,MN,0.074294
1995,12,MO,0.044332
1995,12,MS,0.025528
1995,12,MT,0.08206
1995,12,NC,0.022048
1995,12,ND,0.125733
1995,12,NE,0.063713
1995,12,NH,0.079205
1995,12,NJ,0.064047
1995,12,NM,0.041705
1995,12,NV,0.036521
1995,12,NY,0.08258
1995,12,OH,0.096491
1995,12,OK,0.057577
1995,12,OR,0.060578
1995,12,PA,0.060378
1995,12,RI,0.101023
1995,12,SC,0.016835
1995,12,SD,0.079044
1995,12,TN,0.02998
1995,12,TX,0.056038
1995,12,UT,0.020915
1995,12,VA,0.036309
1995,12,VT,0.023825
1995,12,WA,0.039874
1995,12,WI,0.074618
1995,12,WV,0.022485
1995,12,WY,0.078115
1996,1,AL,0.042831
1996,1,AR,0.059183
1996,1,AZ,0.036347
1996,1,CA,0.044771
1996,1,CO,0.065775
1996,1,CT,0.068256
1996,1,DE,0.11976
1996,1,FL,0.046343
1996,1,GA,0.041958
1996,1,IA,0.109887
1996,1,ID,0.05532
1996,1,IL,0.120458
1996,1,IN,0.114455
1996,1,KS,0.141562
1996,1,KY,0.053863
1996,1,LA,0.059767
1996,1,MA,0.12533
1996,1,MD,0.064136
1996,1,ME,0.069226
1996,1,MI,0.067594
1996,1,MN,0.067558
1996,1,MO,0.09297
1996,1,MS,0.041536
1996,1,MT,0.093047
1996,1,NC,0.044348
1996,1,ND,0.100469
1996,1,NE,0.12471
1996,1,NH,0.095606
1996,1,NJ,0.089634
1996,1,NM,0.094927
1996,1,NV,0.043378
1996,1,NY,0.095396
1996,1,OH,0.130329
1996,1,OK,0.133008
1996,1,OR,0.057409
1996,1,PA,0.069569
1996,1,RI,0.141751
1996,1,SC,0.044409
1996,1,SD,0.096726
1996,1,TN,0.052892
1996,1,TX,0.104958
1996,1,UT,0.040308
1996,1,VA,0.050413
1996,1,VT,0.045352
1996,1,WA,0.039211
1996,1,WI,0.081191
1996,1,WV,0.033764
1996,1,WY,0.115475
1996,2,AL,0.035337
1996,2,AR,0.047001
1996,2,AZ,0.036463
1996,2,CA,0.039107
1996,2,CO,0.05499
1996,2,CT,0.06079
1996,2,DE,0.118079
1996,2,FL,0.041613
1996,2,GA,0.037626
1996,2,IA,0.116099
1996,2,ID,0.046041
1996,2,IL,0.095503
1996,2,IN,0.084885
1996,2,KS,0.109806
1996,2,KY,0.045043
1996,2,LA,0.050226
1996,2,MA,0.107185
1996,2,MD,0.072287
1996,2,ME,0.052508
1996,2,MI,0.061122
1996,2,MN,0.088372
1996,2,MO,0.084763
1996,2,MS,0.036767
1996,2,MT,0.12986
1996,2,NC,0.03797
1996,2,ND,0.17962
1996,2,NE,0.136739
1996,2,NH,0.097551
1996,2,NJ,0.085842
1996,2,NM,0.088812
1996,2,NV,0.040811
1996,2,NY,0.096609
1996,2,OH,0.092637
1996,2,OK,0.077353
1996,2,OR,0.081137
1996,2,PA,0.074236
1996,2,RI,0.112531
1996,2,SC,0.038692
1996,2,SD,0.139511
1996,2,TN,0.053547
1996,2,TX,0.087145
1996,2,UT,0.032987
1996,2,VA,0.053544
1996,2,VT,0.036661
1996,2,WA,0.042976
1996,2,WI,0.06812
1996,2,WV,0.02699
1996,2,WY,0.116277
1996,3,AL,0.050171
1996,3,AR,0.060918
1996,3,AZ,0.048585
1996,3,CA,0.044444
1996,3,CO,0.066246
1996,3,CT,0.039087
1996,3,DE,0.10223
1996,3,FL,0.07346
1996,3,GA,0.051455
1996,3,IA,0.116901
1996,3,ID,0.053628
1996,3,IL,0.120494
1996,3,IN,0.106912
1996,3,KS,0.156124
1996,3,KY,0.049806
1996,3,LA,0.067774
1996,3,MA,0.086485
1996,3,MD,0.056937
1996,3,ME,0.06177
1996,3,MI,0.074048
1996,3,MN,0.077578
1996,3,MO,0.088897
1996,3,MS,0.040803
1996,3,MT,0.083343
1996,3,NC,0.067669
1996,3,ND,0.138286
1996,3,NE,0.150742
1996,3,NH,0.079443
1996,3,NJ,0.073517
1996,3,NM,0.109433
1996,3,NV,0.060935
1996,3,NY,0.078289
1996,3,OH,0.102503
1996,3,OK,0.156599
1996,3,OR,0.031483
1996,3,PA,0.06037
1996,3,RI,0.096204
1996,3,SC,0.06217
1996,3,SD,0.11871
1996,3,TN,0.059733
1996,3,TX,0.118739
1996,3,UT,0.056355
1996,3,VA,0.058484
1996,3,VT,0.03142
1996,3,WA,0.030481
1996,3,WI,0.084273
1996,3,WV,0.027469
1996,3,WY,0.087835
1996,4,AL,0.034861
1996,4,AR,0.065506
1996,4,AZ,0.056425
1996,4,CA,0.061986
1996,4,CO,0.106814
1996,4,CT,0.056687
1996,4,DE,0.127381
1996,4,FL,0.03847
1996,4,GA,0.033421
1996,4,IA,0.12602
1996,4,ID,0.070362
1996,4,IL,0.127663
1996,4,IN,0.11954
1996,4,KS,0.195441
1996,4,KY,0.064614
1996,4,LA,0.053732
1996,4,MA,0.12367
1996,4,MD,0.061334
1996,4,ME,0.071032
1996,4,MI,0.065229
1996,4,MN,0.065452
1996,4,MO,0.120885
1996,4,MS,0.034814
1996,4,MT,0.119885
1996,4,NC,0.064717
1996,4,ND,0.127765
1996,4,NE,0.159339
1996,4,NH,0.10208
1996,4,NJ,0.094238
1996,4,NM,0.124932
1996,4,NV,0.075352
1996,4,NY,0.083335
1996,4,OH,0.118612
1996,4,OK,0.15318
1996,4,OR,0.046204
1996,4,PA,0.072735
1996,4,RI,0.15277
1996,4,SC,0.04924
1996,4,SD,0.111473
1996,4,TN,0.064028
1996,4,TX,0.123863
1996,4,UT,0.070528
1996,4,VA,0.065411
1996,4,VT,0.03606
1996,4,WA,0.047339
1996,4,WI,0.075486
1996,4,WV,0.04193
1996,4,WY,0.12159
1996,5,AL,0.012583
1996,5,AR,0.035483
1996,5,AZ,0.056005
1996,5,CA,0.071573
1996,5,CO,0.076717
1996,5,CT,0.028339
1996,5,DE,0.033447
1996,5,FL,0.024927
1996,5,GA,0.014578
1996,5,IA,0.080057
1996,5,ID,0.047631
1996,5,IL,0.078081
1996,5,IN,0.058855
1996,5,KS,0.1303
1996,5,KY,0.029053
1996,5,LA,0.029497
1996,5,MA,0.056207
1996,5,MD,0.022012
1996,5,ME,0.033391
1996,5,MI,0.043972
1996,5,MN,0.048876
1996,5,MO,0.065982
1996,5,MS,0.012437
1996,5,MT,0.064462
1996,5,NC,0.024747
1996,5,ND,0.077223
1996,5,NE,0.087726
1996,5,NH,0.078307
1996,5,NJ,0.035929
1996,5,NM,0.099554
1996,5,NV,0.074425
1996,5,NY,0.045577
1996,5,OH,0.061278
1996,5,OK,0.153469
1996,5,OR,0.034145
1996,5,PA,0.033736
1996,5,RI,0.079329
1996,5,SC,0.022467
1996,5,SD,0.073315
1996,5,TN,0.028537
1996,5,TX,0.131031
1996,5,UT,0.049031
1996,5,VA,0.023213
1996,5,VT,0.019603
1996,5,WA,0.03233
1996,5,WI,0.053364
1996,5,WV,0.015017
1996,5,WY,0.086186
1996,6,AL,0.007945
1996,6,AR,0.011525
1996,6,AZ,0.042598
1996,6,CA,0.048512
1996,6,CO,0.052068
1996,6,CT,0.017036
1996,6,DE,0.018322
1996,6,FL,0.023372
1996,6,GA,0.013372
1996,6,IA,0.040542
1996,6,ID,0.034635
1996,6,IL,0.031049
1996,6,IN,0.025968
1996,6,KS,0.060984
1996,6,KY,0.011572
1996,6,LA,0.014022
1996,6,MA,0.037799
1996,6,MD,0.013024
1996,6,ME,0.019466
1996,6,MI,0.023356
1996,6,MN,0.036619
1996,6,MO,0.02439
1996,6,MS,0.005567
1996,6,MT,0.076795
1996,6,NC,0.015291
1996,6,ND,0.088354
1996,6,NE,0.067405
1996,6,NH,0.06108
1996,6,NJ,0.022624
1996,6,NM,0.061938
1996,6,NV,0.051371
1996,6,NY,0.028277
1996,6,OH,0.02591
1996,6,OK,0.052299
1996,6,OR,0.025072
1996,6,PA,0.0167
1996,6,RI,0.048762
1996,6,SC,0.020532
1996,6,SD,0.062144
1996,6,TN,0.011515
1996,6,TX,0.055013
1996,6,UT,0.049605
1996,6,VA,0.012335
1996,6,VT,0.014744
1996,6,WA,0.028401
1996,6,WI,0.030345
1996,6,WV,0.009283
1996,6,WY,0.066093
1996,7,AL,0.011446
1996,7,AR,0.014206
1996,7,AZ,0.035971
1996,7,CA,0.037646
1996,7,CO,0.038391
1996,7,CT,0.023199
1996,7,DE,0.033532
1996,7,FL,0.025336
1996,7,GA,0.018189
1996,7,IA,0.025877
1996,7,ID,0.026379
1996,7,IL,0.032697
1996,7,IN,0.026336
1996,7,KS,0.057802
1996,7,KY,0.010774
1996,7,LA,0.009742
1996,7,MA,0.0525
1996,7,MD,0.021651
1996,7,ME,0.025453
