station_id,latitude,longitude,state,avg_wind_speed_ms
72497393203,39.8,-121.85,CA,3.0584375000001347
72297023129,33.812,-118.147,CA,2.399830680663661
74611003182,35.283,-116.633,CA,4.027413626089694
74505753130,34.259,-118.413,CA,2.388388537402351
72483323206,38.567,-121.3,CA,3.1423904479052545
72594624286,41.784,-124.238,CA,3.574428512052915
72494023234,37.62,-122.366,CA,5.13565443172391
99401699999,37.807,-122.465,CA,3.503529201003269
74509023244,37.406,-122.048,CA,2.759598026236153
72591024216,40.152,-122.255,CA,3.4648481590968387
99801199999,38.217,-122.017,CA,4.082255206025836
74505653120,33.038,-116.916,CA,2.0347999090496303
72289523243,34.667,-120.467,CA,3.1764855579589457
72292603154,33.304,-117.355,CA,1.7341672834937967
72391093111,34.124,-119.123,CA,3.1375843365523344
74504893210,39.494,-121.622,CA,3.0424889903768264
99729299999,32.87,-117.25,CA,2.4832552271090047
72061500206,38.033,-120.417,CA,1.0103073783980279
72288593197,34.021,-118.447,CA,2.0893263099530017
72382023182,34.629,-118.083,CA,4.979266182069769
72290303131,32.815,-117.137,CA,2.4764745947419247
74504693242,36.985,-120.111,CA,2.6677921269644966
72595894299,41.484,-120.562,CA,2.43730001523706
74516023202,38.267,-121.933,CA,6.0038321720688765
72069699999,36.588,-118.052,CA,3.606695214790003
72482893241,38.378,-121.959,CA,2.87527814136136
72064600228,37.513,-122.501,CA,3.2845577211387953
99402399999,35.177,-120.76,CA,2.598667626935621
72230053864,33.178,-86.782,AL,1.8384323640961975
72226699999,32.344,-86.988,AL,2.224681382209671
99999963869,30.549,-87.876,AL,1.311983974917263
99999923801,31.79,-86.0,AL,1.7846442219671403
99999973801,33.217,-87.593,AL,1.2725866651175646
72036263874,31.847,-86.614,AL,2.2831161206997894
99999963858,32.457,-87.242,AL,1.0327817453405357
99848599999,30.329,-87.829,AL,4.651416776130529
72050899999,33.172,-86.306,AL,1.5846513860553082
72050499999,33.57,-86.051,AL,2.372163714695687
99999963857,34.285,-85.962,AL,1.8035708064797142
72228503896,33.967,-86.083,AL,1.9558653340348342
72036163870,31.043,-86.312,AL,2.158676488346889
99999963899,31.145,-87.052,AL,1.3008080338327832
72030763804,34.861,-86.557,AL,2.716195357605263
72228403892,32.616,-85.433,AL,2.979090665235952
72323513896,34.744,-87.6,AL,2.763916203505795
99999963892,32.837,-88.137,AL,1.6028164717844615
72203163839,34.269,-86.858,AL,2.2578903256701284
72085600284,34.689,-86.006,AL,1.675735020468848
99999923802,31.881,-87.737,AL,1.6307023022732432
72223013894,30.688,-88.246,AL,2.981001651073014
72228713871,33.59,-85.848,AL,2.1814645308925584
99999973802,31.916,-86.312,AL,2.294348759751062
72227953852,34.658,-86.943,AL,3.029231995747994
72037663880,34.229,-86.256,AL,3.2495981362839617
72026563833,32.915,-85.963,AL,1.5543529411763355
72226813839,31.318,-85.443,AL,3.191575703094721
72036363872,31.952,-85.131,AL,1.820446466657297
72223513838,30.615,-88.063,AL,3.050400712377428
99999963891,32.852,-86.612,AL,1.602791778633175
72323163883,34.679,-86.685,AL,2.940566873339197
72228013876,33.565,-86.745,AL,2.8631549841006434
