date,region,actual,predicted
2008-08-09,TX,0.029588,0.03792166815994235
2008-08-10,TX,0.055456,0.04914465179995838
2008-08-11,TX,0.053319,0.02977121669590995
2008-08-12,TX,0.036432,0.029287397290881655
2008-08-13,TX,0.018998,0.027642068014146075
2008-08-14,TX,0.013336,0.021131300384343875
2008-08-15,TX,0.033231,0.040200446960438285
2008-08-16,TX,0.021841,0.026907535495142448
2008-08-17,TX,0.009238,0.019401152003330584
2008-08-18,TX,0.010243,0.02079905848559415
2008-08-19,TX,0.012381,0.02095268168563888
2008-08-20,TX,0.011365,0.02080381177447305
2008-08-21,TX,0.018473,0.028330511216968796
2008-08-22,TX,0.030883,0.030867405308415252
2008-08-23,TX,0.010973,0.019745007162276496
2008-08-24,TX,0.007601,0.020338143467813843
2008-08-25,TX,0.008848,0.01850913417842671
2008-08-26,TX,0.010686,0.020301946729564205
2008-08-27,TX,0.016202,0.027460989421922904
2008-08-28,TX,0.012394,0.018676517323181856
2008-08-29,TX,0.01653,0.027286012371751905
2008-08-30,TX,0.018128,0.028165827378539787
2008-08-31,TX,0.01674,0.026967562770051738
2008-09-01,TX,0.025909,0.029364995180794398
2008-09-02,TX,0.067558,0.04766370018575928
2008-09-03,TX,0.104342,0.048088352426757866
2008-09-04,TX,0.0231,0.02124388714164318
2008-09-05,TX,0.00991,0.021022726627721283
2008-09-06,TX,0.014643,0.02108879055414181
2008-09-07,TX,0.018875,0.028042523190028184
2008-09-08,TX,0.024101,0.027345802100340315
2008-09-09,TX,0.017865,0.026557181551260637
2008-09-10,TX,0.015137,0.02549134521586354
2008-09-11,TX,0.02283,0.02618130058387179
2008-09-12,TX,0.053237,0.034496246533040766
2008-09-13,TX,0.174029,0.08480176386496194
2008-09-14,TX,0.061796,0.03213672775392796
2008-09-15,TX,0.05013,0.029649104534591075
2008-09-16,TX,0.021635,0.024386080770841093
2008-09-17,TX,0.007572,0.022250412534725907
2008-09-18,TX,0.006746,0.020694449410110526
2008-09-19,TX,0.007193,0.02002105872938958
2008-09-20,TX,0.008223,0.0202120629988068
2008-09-21,TX,0.019579,0.03094875840410089
2008-09-22,TX,0.030724,0.0332680210981875
2008-09-23,TX,0.022497,0.02712947036109278
2008-09-24,TX,0.022979,0.03238241596681318
2008-09-25,TX,0.019282,0.028920367358108094
2008-09-26,TX,0.005838,0.02077727281929661
2008-09-27,TX,0.002822,0.013565926796378172
2008-09-28,TX,0.001905,0.014066225539403664
2008-09-29,TX,0.005075,0.014855171679260122
2008-09-30,TX,0.006028,0.02193121848453384
2008-10-01,TX,0.002935,0.014521273243184618
2008-10-02,TX,0.00592,0.02184702810845206
2008-10-03,TX,0.02105,0.03222171548817605
2008-10-04,TX,0.062419,0.052996974437084246
