year,season,state,capacity_factor,day_count
2003,spring,MD,0.04245379347826087,92
2003,summer,MD,0.01231266304347826,92
2003,winter,MD,0.06419012222222223,90
2003,fall,ME,0.023445747252747253,91
2003,spring,ME,0.02327134782608695,92
2003,summer,ME,0.012465521739130436,92
2003,winter,ME,0.044043033333333335,90
2003,fall,MI,0.04083681318681318,91
2003,spring,MI,0.04707718478260869,92
2003,summer,MI,0.018058097826086954,92
2003,winter,MI,0.05930423333333333,90
2003,fall,MN,0.0510120879120879,91
2003,spring,MN,0.06433013043478261,92
2003,summer,MN,0.023325673913043476,92
2003,winter,MN,0.06070277777777778,90
2003,fall,MO,0.03418281318681319,91
2003,spring,MO,0.060849239130434774,92
2003,summer,MO,0.01936908695652174,92
2003,winter,MO,0.05579323333333334,90
2003,fall,MS,0.013259901098901098,91
2003,spring,MS,0.019879184782608694,92
2003,summer,MS,0.007598369565217392,92
2003,winter,MS,0.02205328888888889,90
2003,fall,MT,0.08337317582417583,91
2003,spring,MT,0.07263632608695651,92
2003,summer,MT,0.0519679347826087,92
2003,winter,MT,0.07589595555555555,90
2003,fall,NC,0.022099263736263735,91
2003,spring,NC,0.02318096739130435,92
2003,summer,NC,0.010759434782608695,92
2003,winter,NC,0.02908928888888889,90
2003,fall,ND,0.09826623076923076,91
2003,spring,ND,0.11604075000000001,92
2003,summer,ND,0.060123,92
2003,winter,ND,0.11190405555555556,90
2003,fall,NE,0.05879614285714286,91
2003,spring,NE,0.09171299999999999,92
2003,summer,NE,0.04493111956521739,92
2003,winter,NE,0.07254528888888889,90
2003,fall,NH,0.011161043956043957,91
2003,spring,NH,0.012541760869565217,92
2003,summer,NH,0.005551478260869565,92
2003,winter,NH,0.020915255555555557,90
2003,fall,NJ,0.03626282417582418,91
2003,spring,NJ,0.037616326086956524,92
2003,summer,NJ,0.012327260869565216,92
2003,winter,NJ,0.05516044444444444,90
2003,fall,NM,0.066218,91
2003,spring,NM,0.1229599891304348,92
2003,summer,NM,0.06370753260869566,92
2003,winter,NM,0.0784809111111111,90
2003,fall,NV,0.02710806593406594,91
2003,spring,NV,0.07019698913043479,92
2003,summer,NV,0.04061822826086957,92
2003,winter,NV,0.030212100000000002,90
2003,fall,NY,0.04981738461538462,91
2003,spring,NY,0.0448345652173913,92
2003,summer,NY,0.01874061956521739,92
2003,winter,NY,0.0744656888888889,90
2003,fall,OH,0.042674000000000004,91
2003,spring,OH,0.05308378260869566,92
2003,summer,OH,0.018460336956521738,92
2003,winter,OH,0.0682331111111111,90
2003,fall,OK,0.049462285714285716,91
2003,spring,OK,0.0709529347826087,92
2003,summer,OK,0.028388391304347827,92
2003,winter,OK,0.07216856666666667,90
2003,fall,OR,0.03136703296703297,91
2003,spring,OR,0.03880695652173913,92
2003,summer,OR,0.028261847826086955,92
2003,winter,OR,0.03396977777777778,90
2003,fall,PA,0.03308624175824176,91
2003,spring,PA,0.031847,92
2003,summer,PA,0.01050733695652174,92
2003,winter,PA,0.05142696666666667,90
2003,fall,RI,0.0356160989010989,91
2003,spring,RI,0.03793294565217391,92
