date,region,capacity_factor
1995-03-18,MN,0.007398
1995-03-18,TX,0.014647
1995-03-19,CA,0.035962
1995-03-19,FL,0.041116
1995-03-19,MN,0.030482
1995-03-19,TX,0.091925
1995-03-20,CA,0.077193
1995-03-20,FL,0.019394
1995-03-20,MN,0.125105
1995-03-20,TX,0.092965
1995-03-21,CA,0.110148
1995-03-21,FL,0.024419
1995-03-21,MN,0.041421
1995-03-21,TX,0.078018
1995-03-22,CA,0.164226
1995-03-22,FL,0.03987
1995-03-22,MN,0.04336
1995-03-22,TX,0.124213
1995-03-23,CA,0.121212
1995-03-23,FL,0.085644
1995-03-23,MN,0.010107
1995-03-23,TX,0.02563
1995-03-24,CA,0.083938
1995-03-24,FL,0.050234
1995-03-24,MN,0.033345
1995-03-24,TX,0.062839
1995-03-25,CA,0.065785
1995-03-25,FL,0.028781
1995-03-25,MN,0.107951
1995-03-25,TX,0.144985
1995-03-26,CA,0.033347
1995-03-26,FL,0.046977
1995-03-26,MN,0.14105
1995-03-26,TX,0.080925
1995-03-27,CA,0.041618
1995-03-27,FL,0.022431
1995-03-27,MN,0.17261
1995-03-27,TX,0.085792
1995-03-28,CA,0.040576
1995-03-28,FL,0.014338
1995-03-28,MN,0.032482
1995-03-28,TX,0.099768
1995-03-29,CA,0.027787
1995-03-29,FL,0.009152
1995-03-29,MN,0.027571
1995-03-29,TX,0.092239
1995-03-30,CA,0.042649
1995-03-30,FL,0.015018
1995-03-30,MN,0.031935
1995-03-30,TX,0.054072
1995-03-31,CA,0.018356
1995-03-31,FL,0.027281
1995-03-31,MN,0.020107
1995-03-31,TX,0.040913
1995-04-01,CA,0.042404
1995-04-01,FL,0.013824
1995-04-01,MN,0.033464
1995-04-01,TX,0.015419
1995-04-02,CA,0.072319
1995-04-02,FL,0.045942
1995-04-02,MN,0.100321
1995-04-02,TX,0.067231
1995-04-03,CA,0.025808
1995-04-03,FL,0.029624
1995-04-03,MN,0.243283
1995-04-03,TX,0.074532
1995-04-04,CA,0.016918
1995-04-04,FL,0.023447
1995-04-04,MN,0.161139
1995-04-04,TX,0.087523
1995-04-05,CA,0.026706
1995-04-05,FL,0.028027
1995-04-05,MN,0.074332
1995-04-05,TX,0.042736
